participant_id,activity,phase,window_id,start_time,end_time,mean_ENMO,sd_ENMO,median_ENMO,mad_ENMO,min_ENMO,max_ENMO,range_ENMO,dom_freq,spectral_entropy,energy_band_1,energy_band_2,energy_band_3,zero_crossing_rate
BIRRO,assis immobile,1,1,2024-09-19T15:34:30Z,2024-09-19T15:34:34.966667Z,-0.0158093899202933,0.0972708991110628,-0.0188455088668276,0.00926792725984229,-0.332350430272942,0.597728567487124,0.930078997760066,0.810810810810811,3.2828192791395,0.0957859516786733,0.42359827895278,0.474132183045926,0.226666666666667
BIRRO,assis immobile,1,2,2024-09-19T15:34:35Z,2024-09-19T15:34:39.966667Z,-0.0173093656220678,0.00510324277162033,-0.0176798675468003,0.00437364253277637,-0.0273969638915572,0.0146357986065866,0.0420327624981438,2.02702702702703,3.3996834664945,0.0332552078680776,0.253220118880602,0.644945949341674,0.36
BIRRO,assis immobile,1,3,2024-09-19T15:34:40Z,2024-09-19T15:34:44.966667Z,-0.0157626770568474,0.00587762142246306,-0.0165727908219255,0.00564119445691899,-0.0299526099674858,0.00343632653474435,0.0333889365022302,0.202702702702703,3.31873736825322,0.239911203149761,0.195492411610614,0.523178900434208,0.28
BIRRO,assis immobile,1,4,2024-09-19T15:34:45Z,2024-09-19T15:34:49.966667Z,-0.0164360319788809,0.00999478193072197,-0.0169076855045056,0.00738241651012585,-0.0483149350348981,0.0450283019238209,0.0933432369587191,6.48648648648649,3.57194440722963,0.0166101421905625,0.174251987464918,0.792495719729337,0.393333333333333
BIRRO,assis immobile,1,5,2024-09-19T15:34:50Z,2024-09-19T15:34:54.966667Z,-0.0143952014407739,0.00980652054697073,-0.0161965684404486,0.00842730996317689,-0.0369648378316018,0.0269889330083153,0.063953770839917,5.67567567567568,3.43728164544332,0.066585905312253,0.176437625844782,0.734973770892734,0.346666666666667
BIRRO,assis immobile,1,6,2024-09-19T15:34:55Z,2024-09-19T15:34:59.966667Z,-0.0137709078959927,0.004918645446466,-0.0138627945542253,0.00527074106036157,-0.0236818928061976,0.00697403724359669,0.0306559300497943,0.202702702702703,3.16184151105081,0.34297741689982,0.22123833326089,0.395620306250412,0.246666666666667
BIRRO,assis immobile,1,7,2024-09-19T15:35:00Z,2024-09-19T15:35:04.966667Z,-0.0160203049657247,0.00382822701016084,-0.0165624202255685,0.00342762837779146,-0.0266898894663821,-0.00576008149411622,0.0209298079722658,6.08108108108108,3.49806432093873,0.0186849104468032,0.260312273492045,0.685122265573509,0.313333333333333
BIRRO,assis immobile,1,8,2024-09-19T15:35:05Z,2024-09-19T15:35:09.966667Z,-0.0160407478091699,0.00348736463393107,-0.0165506406930324,0.00316003358250682,-0.0231744313750151,-0.0063044309453848,0.0168700004296303,2.02702702702703,3.26843744260666,0.0431738709687008,0.369392372638941,0.557366780042196,0.32
BIRRO,assis immobile,1,9,2024-09-19T15:35:10Z,2024-09-19T15:35:14.966667Z,-0.0116426618015385,0.00588419526462065,-0.01202804300267,0.00592819596329672,-0.0276691651035979,0.00365424371801026,0.0313234088216081,0.202702702702703,3.21177263151691,0.283741576837065,0.161343006061453,0.534359283060108,0.306666666666667
BIRRO,assis immobile,1,10,2024-09-19T15:35:15Z,2024-09-19T15:35:19.966667Z,-0.0124416165625733,0.00747182436560754,-0.0125560801208144,0.0067569699427478,-0.0357964622275506,0.0111124226702757,0.0469088848978263,8.10810810810811,3.55588231135313,0.0181862043335151,0.115084050495103,0.836435392298542,0.366666666666667
BIRRO,assis immobile,1,11,2024-09-19T15:35:20Z,2024-09-19T15:35:24.966667Z,-0.0113703147713424,0.00588015691395769,-0.0116086880278583,0.00667433818022152,-0.0290965357217861,0.00610497193061277,0.0352015076523988,4.05405405405405,3.41464034254612,0.165636074893142,0.133976129570137,0.677116593126069,0.273333333333333
BIRRO,assis immobile,1,12,2024-09-19T15:35:25Z,2024-09-19T15:35:29.966667Z,-0.0157126640373932,0.0132029913225593,-0.0158735761240951,0.0057298234638994,-0.0754806460942811,0.105053831117758,0.180534477212039,8.91891891891892,3.76895665365013,0.0328751953538217,0.120900174312797,0.812429841574194,0.36
