participant_id,activity,phase,window_id,start_time,end_time,sd_ENMO,dom_freq,energy_band_1,median_ENMO
BIRRO,assis immobile,1,33,2024-09-19T15:37:10Z,2024-09-19T15:37:14.966667Z,0.00493721346970783,2.02702702702703,0.0719680820160399,-0.0191161250249545
BIRRO,assis immobile,1,34,2024-09-19T15:37:15Z,2024-09-19T15:37:19.966667Z,0.00332714627791691,2.02702702702703,0.0511432384776873,-0.0227943688742239
BIRRO,assis immobile,1,35,2024-09-19T15:37:20Z,2024-09-19T15:37:24.966667Z,0.00348916739352842,6.08108108108108,0.0226375584314768,-0.0234452616041079
BIRRO,assis immobile,1,36,2024-09-19T15:37:25Z,2024-09-19T15:37:29.966667Z,0.00301879894122705,4.05405405405405,0.0152859884704184,-0.0222871904032889
BIRRO,debout immobile,1,1,2024-09-19T15:38:00Z,2024-09-19T15:38:04.966667Z,0.00330258168309697,2.02702702702703,0.0324486606833699,-0.0132466181763898
BIRRO,debout immobile,1,2,2024-09-19T15:38:05Z,2024-09-19T15:38:09.966667Z,0.00432163950807795,6.08108108108108,0.0200227549907363,-0.0136927358682954
BIRRO,debout immobile,1,3,2024-09-19T15:38:10Z,2024-09-19T15:38:14.966667Z,0.00376921702079877,6.08108108108108,0.0477276085869454,-0.0136241364311039
BIRRO,debout immobile,1,4,2024-09-19T15:38:15Z,2024-09-19T15:38:19.966667Z,0.0041183331630549,6.08108108108108,0.0265119457176087,-0.0130476722794672
BIRRO,debout immobile,1,5,2024-09-19T15:38:20Z,2024-09-19T15:38:24.966667Z,0.00424441087588154,6.08108108108108,0.00613732033228026,-0.012118472453381
BIRRO,debout immobile,1,6,2024-09-19T15:38:25Z,2024-09-19T15:38:29.966667Z,0.00468011644682618,4.05405405405405,0.0660585896510801,-0.0126063110485752
BIRRO,debout immobile,1,7,2024-09-19T15:38:30Z,2024-09-19T15:38:34.966667Z,0.00391260451103559,4.05405405405405,0.0160400356349169,-0.0133788920445144
BIRRO,debout immobile,1,8,2024-09-19T15:38:35Z,2024-09-19T15:38:39.966667Z,0.00428654418263437,8.10810810810811,0.0314155897785327,-0.0118940747502908
BIRRO,debout immobile,1,9,2024-09-19T15:38:40Z,2024-09-19T15:38:44.966667Z,0.00387835864994648,2.02702702702703,0.0619355658512782,-0.0127444059392686
BIRRO,debout immobile,1,10,2024-09-19T15:38:45Z,2024-09-19T15:38:49.966667Z,0.00420670817497924,4.05405405405405,0.0613784640790566,-0.0117305871425361
BIRRO,debout immobile,1,11,2024-09-19T15:38:50Z,2024-09-19T15:38:54.966667Z,0.00402094005632702,6.08108108108108,0.0214296234021747,-0.013279921467925
BIRRO,debout immobile,1,12,2024-09-19T15:38:55Z,2024-09-19T15:38:59.966667Z,0.00466608669429186,8.10810810810811,0.0143333393979155,-0.0129148437610874
BIRRO,debout immobile,1,13,2024-09-19T15:39:00Z,2024-09-19T15:39:04.966667Z,0.00465677951990486,4.05405405405405,0.0632506779672663,-0.0131110099379964
BIRRO,debout immobile,1,14,2024-09-19T15:39:05Z,2024-09-19T15:39:09.966667Z,0.0035647103134124,8.10810810810811,0.013300344918937,-0.0138691884064108
BIRRO,debout immobile,1,15,2024-09-19T15:39:10Z,2024-09-19T15:39:14.966667Z,0.00339175901060398,8.10810810810811,0.00692002849724982,-0.0134938965388429
