mean_ENMO,sd_ENMO,median_ENMO,mad_ENMO,min_ENMO,max_ENMO,range_ENMO,dom_freq,spectral_entropy,energy_band_1,energy_band_2,energy_band_3,zero_crossing_rate,window_id,start_time,end_time
0.00179008869407166,0.0151030805934895,0.00205293030457899,0.00312088571769441,-0.148150380531717,0.0969944106500469,0.245144791181764,11.1486486486486,4.0424815379519,0.00588641762355545,0.0461216479850661,0.339594588848267,0.373333333333333,1,2024-09-19T15:50:00Z,2024-09-19T15:50:04.966667Z
0.00197200888267137,0.0031648268974204,0.00214521044150085,0.00264341473439183,-0.00602855813763192,0.011232082805644,0.0172606409432759,6.08108108108108,3.35725797952974,0.0361968489158155,0.169653710366523,0.751283044167011,0.353333333333333,2,2024-09-19T15:50:05Z,2024-09-19T15:50:09.966667Z
0.00193883534082899,0.00369100797297111,0.00193796807441093,0.00314397525632228,-0.00481413928193819,0.018114699196383,0.0229288384783212,4.05405405405405,3.02639633613984,0.0246274522043228,0.23812310002817,0.6737482478679,0.386666666666667,3,2024-09-19T15:50:10Z,2024-09-19T15:50:14.966667Z
0.00213611979471626,0.0033318586185211,0.00195591597147171,0.00321199333726837,-0.00578406903184792,0.0133633554332726,0.0191474244651205,4.05405405405405,3.24600476275163,0.0176572185633944,0.179941891531739,0.722661896875251,0.386666666666667,4,2024-09-19T15:50:15Z,2024-09-19T15:50:19.966667Z
0.00196621475424067,0.00312293827613227,0.00177521325025576,0.00280959783727151,-0.00384251664209245,0.0127984892051582,0.0166410058472507,2.02702702702703,3.30639140709679,0.0147046569309049,0.24031964213614,0.703643035853965,0.326666666666667,5,2024-09-19T15:50:20Z,2024-09-19T15:50:24.966667Z
-0.00654624585254351,0.0260496944306143,0.00117130875853122,0.00472328716240829,-0.13874835663242,0.0497161242867945,0.188464480919215,0.202702702702703,3.09290200960525,0.328117658338309,0.415225535961983,0.249381430205829,0.0533333333333333,6,2024-09-19T15:50:25Z,2024-09-19T15:50:29.966667Z
0.0187074514496098,0.0370618851637064,0.0145924750103184,0.00778153369841966,-0.150013697489798,0.255643648508297,0.405657345998095,3.64864864864865,3.56100324466854,0.0395962430875523,0.296115414022668,0.659014151222569,0.2,7,2024-09-19T15:50:30Z,2024-09-19T15:50:34.966667Z
0.0135528267346892,0.00366085764568346,0.0129753098765576,0.00350603414894598,0.000192776721385846,0.0230077546589469,0.0228149779375611,2.02702702702703,3.22285203257212,0.00950270600086012,0.268741760951165,0.696922212875016,0.306666666666667,8,2024-09-19T15:50:35Z,2024-09-19T15:50:39.966667Z
0.0127868468557437,0.00339397452172627,0.0128701486247469,0.00287809545701643,0.000714350176642009,0.0250468071206535,0.0243324569440115,6.08108108108108,3.32352789325555,0.00656334995891639,0.25073920844767,0.702832221848069,0.386666666666667,9,2024-09-19T15:50:40Z,2024-09-19T15:50:44.966667Z
0.0122510065708597,0.00360074414286855,0.0120452636375169,0.0035434718482908,0.00321426050695917,0.0220155562461579,0.0188012957391987,6.08108108108108,3.29149957503208,0.126685021585407,0.170534131678396,0.655330345055975,0.34,10,2024-09-19T15:50:45Z,2024-09-19T15:50:49.966667Z
0.013327042584895,0.00320366442980473,0.0129963721932648,0.00292758147579466,0.00517048321135349,0.0219305179800628,0.0167600347687093,4.05405405405405,3.30694269468261,0.0962380165970925,0.203894759415985,0.653570751750831,0.306666666666667,11,2024-09-19T15:50:50Z,2024-09-19T15:50:54.966667Z
0.0125716634818146,0.00355195564679072,0.0125897243114287,0.00341470562448828,0.00504685648278036,0.0232268394297883,0.0181799829470079,8.10810810810811,3.46153539134604,0.0418162776299685,0.250030444357392,0.678562406014772,0.34,12,2024-09-19T15:50:55Z,2024-09-19T15:50:59.966667Z
0.0119488278378616,0.00306150364953442,0.0114381083132899,0.0030741070445158,0.00459761277821413,0.0193639210633465,0.0147663082851324,2.02702702702703,3.27580360790454,0.0239301352782262,0.368530156675682,0.571155732969674,0.34,13,2024-09-19T15:51:00Z,2024-09-19T15:51:04.966667Z
0.0121470022989726,0.00330754962467754,0.0120224111156523,0.00306618736864921,0.00445596718269159,0.022764186210996,0.0183082190283044,6.08108108108108,3.1831399840224,0.00597638073247583,0.207135591906976,0.750103771251974,0.36,14,2024-09-19T15:51:05Z,2024-09-19T15:51:09.966667Z
0.0122876552986205,0.00308728971367408,0.0121998862232704,0.00298596677813514,0.00468140683910834,0.0207485111295456,0.0160671042904373,6.08108108108108,3.54161586792885,0.0319619802947213,0.288380908144124,0.619530850088017,0.34,15,2024-09-19T15:51:10Z,2024-09-19T15:51:14.966667Z
0.0121508628978549,0.00374616103246436,0.0119959793949303,0.00374663643863257,0.00171915885286622,0.0249493163512797,0.0232301574984135,2.02702702702703,3.24340529421945,0.0147006979132641,0.318645403345456,0.594373340592439,0.36,16,2024-09-19T15:51:15Z,2024-09-19T15:51:19.966667Z
0.0123145014449385,0.0033774119882481,0.0123021158856298,0.00250855625220728,0.00371290700229587,0.0231301420369658,0.0194172350346699,6.08108108108108,3.28726829078697,0.0213860873719871,0.229998648349685,0.712337499601715,0.32,17,2024-09-19T15:51:20Z,2024-09-19T15:51:24.966667Z
0.0117631819610365,0.00363817404725267,0.0117718361199483,0.00305524081138003,0.00473848756649686,0.0235171981286928,0.0187787105621959,2.02702702702703,3.10732606112317,0.0146928186962162,0.295664554734984,0.62293760749974,0.34,18,2024-09-19T15:51:25Z,2024-09-19T15:51:29.966667Z
