mean_ENMO,sd_ENMO,median_ENMO,mad_ENMO,min_ENMO,max_ENMO,range_ENMO,dom_freq,spectral_entropy,energy_band_1,energy_band_2,energy_band_3,zero_crossing_rate,window_id,start_time,end_time
-0.0192134368271272,0.0162843182427463,-0.0198790956225242,0.0065167106913365,-0.167281163381311,0.0745152704400307,0.241796433821342,5.47297297297297,4.06780236247432,0.0124995039997181,0.05560523678037,0.413116464136333,0.353333333333333,1,2024-09-19T14:44:00Z,2024-09-19T14:44:04.966667Z
-0.0174888076857685,0.00522185674460744,-0.0174227233999194,0.00488015718025187,-0.030730576580502,-2.9626538036065e-05,0.0307009500424659,0.202702702702703,3.34853094362236,0.230162247061427,0.271851725602891,0.468667398409522,0.3,2,2024-09-19T14:44:05Z,2024-09-19T14:44:09.966667Z
-0.0150350038257608,0.00778408169525213,-0.0149903008161778,0.00722885590604009,-0.0352021120636158,0.00434922276780503,0.0395513348314208,3.85135135135135,3.45365535370183,0.00768985430630197,0.168282415215498,0.814102576441544,0.353333333333333,3,2024-09-19T14:44:10Z,2024-09-19T14:44:14.966667Z
-0.0189503239605575,0.00959419577712909,-0.0189065395726382,0.00686603429845995,-0.0466063985443934,0.0346780538980067,0.0812844524424002,4.86486486486487,3.40491806435331,0.0139975014965059,0.12141676368646,0.855754593677559,0.333333333333333,4,2024-09-19T14:44:15Z,2024-09-19T14:44:19.966667Z
-0.0182808552972553,0.00381469858025397,-0.0183279700679321,0.00389987715442457,-0.0264971863611819,-0.00812108286379742,0.0183761034973845,2.02702702702703,3.33316246424209,0.0727999502315938,0.279838369837664,0.627025520157602,0.313333333333333,5,2024-09-19T14:44:20Z,2024-09-19T14:44:24.966667Z
-0.023142734471571,0.040324884059885,-0.0186008374229929,0.00626124620766105,-0.239677193405839,0.0761411087208423,0.315818302126681,1.21621621621622,3.36358265064622,0.0770812456907873,0.564534687697301,0.340651583186913,0.206666666666667,6,2024-09-19T14:44:25Z,2024-09-19T14:44:29.966667Z
0.00074557330851056,0.133455661950604,-0.00654436560025113,0.0304534540839292,-0.434888304820212,0.97994075820654,1.41482906302675,1.41891891891892,3.68256260982966,0.0318772772553952,0.375273428107579,0.58268386322553,0.266666666666667,7,2024-09-19T14:44:30Z,2024-09-19T14:44:34.966667Z
-0.00660679754154237,0.00506923516544939,-0.00673594553402396,0.00401105436488733,-0.0227661091898962,0.00822733436713685,0.0309934435570331,5.47297297297297,3.56553089815075,0.0263552605482149,0.203082384358036,0.741563374627969,0.346666666666667,8,2024-09-19T14:44:35Z,2024-09-19T14:44:39.966667Z
-0.00558842532720436,0.00494330467438949,-0.00635109812127943,0.00471378627854061,-0.0164587331799738,0.00979920443639083,0.0262579376163646,7.0945945945946,3.60957015119578,0.0389727710696378,0.207811796596331,0.718474723220419,0.326666666666667,9,2024-09-19T14:44:40Z,2024-09-19T14:44:44.966667Z
-0.00649767771690535,0.00316415143636743,-0.00685644644932299,0.00293898318052207,-0.0129190754537737,0.00551402351903896,0.0184330989728127,8.10810810810811,3.43163082318175,0.0252542765374692,0.224916901822276,0.713459181540335,0.38,10,2024-09-19T14:44:45Z,2024-09-19T14:44:49.966667Z
-0.00481546073887177,0.005546081793639,-0.00518196936192933,0.00384814730783175,-0.0427861872146167,0.0113029732544974,0.0540891604691141,0.202702702702703,3.54507611965725,0.104911206361799,0.18541001221391,0.673786127968728,0.34,11,2024-09-19T14:44:50Z,2024-09-19T14:45:00.966667Z
-0.00373177753635365,0.00402081893814666,-0.00398582045252283,0.00390036889039222,-0.0114789784300675,0.0126758360918262,0.0241548145218937,6.08108108108108,3.52785012541367,0.0969007471427695,0.214758121497586,0.610384266779322,0.32,12,2024-09-19T14:45:01Z,2024-09-19T14:45:05.966667Z
-0.00408137241167722,0.00384201235430332,-0.00433985126943731,0.00409103054470353,-0.0126346262602804,0.00761315152776199,0.0202477777880424,2.02702702702703,3.52480883717618,0.0147476218948433,0.236721764281304,0.714468295879579,0.333333333333333,13,2024-09-19T14:45:06Z,2024-09-19T14:45:10.966667Z
-0.00371186992332206,0.00560025479753439,-0.00434543230718843,0.00435659579465018,-0.0228976815512585,0.0156965403093761,0.0385942218606346,2.02702702702703,3.52623273225488,0.0181797012595805,0.299293546066225,0.625535823563747,0.326666666666667,14,2024-09-19T14:45:11Z,2024-09-19T14:45:15.966667Z
-0.00419987716643734,0.00387904851492339,-0.00412504494791577,0.0031559310725235,-0.0152081383532714,0.00698023310991469,0.0221883714631861,8.10810810810811,3.61105694249935,0.0194636998770294,0.22094044578502,0.671316194984977,0.4,15,2024-09-19T14:45:16Z,2024-09-19T14:45:20.966667Z
-0.00455980093986231,0.0105581456588393,-0.00502125627859485,0.00450584140977086,-0.0382941728313099,0.0663004116411432,0.104594584472453,6.68918918918919,3.61065392781948,0.0395907546018674,0.213738702974112,0.727907165412195,0.346666666666667,16,2024-09-19T14:45:21Z,2024-09-19T14:46:37.966667Z
-0.00595000468858843,0.00755761567151583,-0.00552240390260734,0.00561561918175335,-0.0321242924748028,0.0187267191248384,0.0508510115996412,7.2972972972973,3.59656893158694,0.0274541471725731,0.0846483051954132,0.84595052476894,0.36,17,2024-09-19T14:46:38Z,2024-09-19T14:46:42.966667Z
-0.0103529487197842,0.0979428132725879,-0.00562470290711021,0.00911324951920115,-0.412231664601276,0.379953294373488,0.792184958974764,0.810810810810811,3.05999466948373,0.128202131379594,0.578871752273813,0.288868245867426,0.2,18,2024-09-19T14:46:43Z,2024-09-19T14:47:30.966667Z
