ID;date;activity;phase;start;end;notes
BUFCA;19/09/2024;escalier montee;7;16:17:30;16:17:39;
BUFCA;19/09/2024;escalier descente;7;16:17:39;16:17:50;
BUFCA;19/09/2024;escalier montee;8;16:17:50;16:17:58;
BUFCA;19/09/2024;escalier descente;8;16:17:58;16:18:10;
BUFCA;19/09/2024;escalier montee;9;16:18:10;16:18:17;
BUFCA;19/09/2024;escalier descente;9;16:18:17;16:18:28;
CHAMA;19/09/2024;assis immobile;;15:50:30;15:53:30;
CHAMA;19/09/2024;debout immobile;;15:54:00;15:57:00;
CHAMA;19/09/2024;marche spontanee;;15:57:30;16:00:30;
CHAMA;19/09/2024;marche lente;;16:01:00;16:04:00;
CHAMA;19/09/2024;marche rapide;;16:04:30;16:07:30;
CHAMA;19/09/2024;course spontanee;;16:08:00;16:11:00;
CHAMA;19/09/2024;velo spontanee;;16:11:30;16:14:30;
CHAMA;19/09/2024;escalier montee;1;16:15:34;16:15:43;
CHAMA;19/09/2024;escalier descente;1;16:15:43;16:15:53;
CHAMA;19/09/2024;escalier montee;2;16:15:53;16:16:04;
CHAMA;19/09/2024;escalier descente;2;16:16:04;16:16:13;
CHAMA;19/09/2024;escalier montee;3;16:16:13;16:16:24;
CHAMA;19/09/2024;escalier descente;3;16:16:24;16:16:33;
CHAMA;19/09/2024;escalier montee;4;16:16:33;16:16:44;
CHAMA;19/09/2024;escalier descente;4;16:16:44;16:16:53;
CHAMA;19/09/2024;escalier montee;5;16:16:53;16:17:02;
CHAMA;19/09/2024;escalier descente;5;16:17:02;16:17:11;
CHAMA;19/09/2024;escalier montee;6;16:17:11;16:17:21;
CHAMA;19/09/2024;escalier descente;6;16:17:21;16:17:34;
CHAMA;19/09/2024;escalier montee;7;16:17:34;16:17:41;
CHAMA;19/09/2024;escalier descente;7;16:17:41;16:17:50;
CHAMA;19/09/2024;escalier montee;8;16:17:50;16:18:00;
CHAMA;19/09/2024;escalier descente;8;16:18:00;16:18:10;
CHAMA;19/09/2024;escalier montee;9;16:18:10;16:18:20;
CHAMA;19/09/2024;escalier descente;9;16:18:20;16:18:30;
CHAMA;19/09/2024;escalier montee;10;16:18:30;16:18:40;
CHAMA;19/09/2024;escalier descente;10;16:18:40;16:18:48;
PATLI;19/09/2024;assis immobile;;15:05:31;15:08:30;
PATLI;19/09/2024;debout immobile;;15:09:00;15:12:00;
PATLI;19/09/2024;marche spontanee;;15:12:30;15:15:30;
PATLI;19/09/2024;marche lente;;15:16:00;15:19:00;
PATLI;19/09/2024;marche rapide;;15:19:30;15:22:30;
PATLI;19/09/2024;course spontanee;;15:23:00;15:26:00;
PATLI;19/09/2024;velo spontanee;;15:26:37;15:29:37;
PATLI;19/09/2024;escalier montee;1;15:30:30;15:30:42;
PATLI;19/09/2024;escalier descente;1;15:30:42;15:30:54;
PATLI;19/09/2024;escalier montee;2;15:30:54;15:31:07;
PATLI;19/09/2024;escalier descente;2;15:31:07;15:31:20;
PATLI;19/09/2024;escalier montee;3;15:31:20;15:31:32;
PATLI;19/09/2024;escalier descente;3;15:31:32;15:31:44;
PATLI;19/09/2024;escalier montee;4;15:31:44;15:31:57;
PATLI;19/09/2024;escalier descente;4;15:31:57;15:32:09;
PATLI;19/09/2024;escalier montee;5;15:32:09;15:32:22;
PATLI;19/09/2024;escalier descente;5;15:32:22;15:32:35;
PATLI;19/09/2024;escalier montee;6;15:32:35;15:32:49;
PATLI;19/09/2024;escalier descente;6;15:32:49;15:33:01;
PATLI;19/09/2024;escalier montee;7;15:33:01;15:33:15;
PATLI;19/09/2024;escalier descente;7;15:33:15;15:33:27;
BOUAN;19/09/2024;assis immobile;;15:41:30;15:44:30;
BOUAN;19/09/2024;debout immobile;;15:45:00;15:48:00;
BOUAN;19/09/2024;marche spontanee;;15:48:30;15:51:30;
BOUAN;19/09/2024;marche lente;;15:52:00;15:55:00;
BOUAN;19/09/2024;marche rapide;;15:55:30;15:58:30;
BOUAN;19/09/2024;course spontanee;;15:59:00;16:02:00;
BOUAN;19/09/2024;velo spontanee;;16:04:00;16:07:00;
BOUAN;19/09/2024;escalier montee;1;16:08:44;16:08:58;
BOUAN;19/09/2024;escalier descente;1;16:08:58;16:09:13;
BOUAN;19/09/2024;escalier montee;2;16:09:13;16:09:27;
BOUAN;19/09/2024;escalier descente;2;16:09:27;16:09:42;
BOUAN;19/09/2024;escalier montee;3;16:09:42;16:09:57;
BOUAN;19/09/2024;escalier descente;3;16:09:57;16:10:16;
BOUAN;19/09/2024;escalier montee;4;16:10:16;16:10:30;
BOUAN;19/09/2024;escalier descente;4;16:10:30;16:10:47;
BOUAN;19/09/2024;escalier montee;5;16:10:47;16:11:02;
BOUAN;19/09/2024;escalier descente;5;16:11:02;16:11:19;
GOAWE;19/09/2024;assis immobile;;15:41:30;15:44:30;
GOAWE;19/09/2024;debout immobile;;15:45:00;15:48:00;
GOAWE;19/09/2024;marche spontanee;;15:48:30;15:51:30;
GOAWE;19/09/2024;marche lente;;15:52:00;15:55:00;
GOAWE;19/09/2024;marche rapide;;15:55:30;15:58:30;
GOAWE;19/09/2024;course spontanee;;15:59:00;16:02:00;
GOAWE;19/09/2024;velo spontanee;;16:04:00;16:07:00;
GOAWE;19/09/2024;escalier montee;1;16:08:44;16:08:58;
GOAWE;19/09/2024;escalier descente;1;16:08:58;16:09:13;
GOAWE;19/09/2024;escalier montee;2;16:09:13;16:09:27;
GOAWE;19/09/2024;escalier descente;2;16:09:27;16:09:42;
GOAWE;19/09/2024;escalier montee;3;16:09:42;16:09:57;
GOAWE;19/09/2024;escalier descente;3;16:09:57;16:10:16;
GOAWE;19/09/2024;escalier montee;4;16:10:16;16:10:30;
GOAWE;19/09/2024;escalier descente;4;16:10:30;16:10:47;
GOAWE;19/09/2024;escalier montee;5;16:10:47;16:11:02;
GOAWE;19/09/2024;escalier descente;5;16:11:02;16:11:19;
JAITY;19/09/2024;assis immobile;;16:36:30;16:39:30;
JAITY;19/09/2024;debout immobile;;16:40:00;16:43:00;
JAITY;19/09/2024;marche spontanee;;16:43:30;16:46:30;
JAITY;19/09/2024;marche lente;;16:47:00;16:50:00;
JAITY;19/09/2024;marche rapide;;16:50:30;16:54:00;
JAITY;19/09/2024;course spontanee;;16:54:30;16:57:30;
JAITY;19/09/2024;velo spontanee;;16:59:30;17:02:30;
JAITY;19/09/2024;escalier montee;1;17:04:00;17:04:10;
JAITY;19/09/2024;escalier descente;1;17:04:10;17:04:24;
JAITY;19/09/2024;escalier montee;2;17:04:24;17:04:36;
JAITY;19/09/2024;escalier descente;2;17:04:36;17:04:50;
JAITY;19/09/2024;escalier montee;3;17:04:50;17:05:03;
JAITY;19/09/2024;escalier descente;3;17:05:03;17:05:17;
JAITY;19/09/2024;escalier montee;4;17:05:17;17:05:29;
JAITY;19/09/2024;escalier descente;4;17:05:29;17:05:44;
JAITY;19/09/2024;escalier montee;5;17:05:44;17:05:57;
JAITY;19/09/2024;escalier descente;5;17:05:57;17:06:12;
JAITY;19/09/2024;escalier montee;6;17:06:12;17:06:23;
JAITY;19/09/2024;escalier descente;6;17:06:23;17:06:37;
JAITY;19/09/2024;escalier montee;7;17:06:37;17:06:50;
JAITY;19/09/2024;escalier descente;7;17:06:50;17:07:00;
MOCLU;19/09/2024;assis immobile;;13:47:30;13:50:30;
MOCLU;19/09/2024;debout immobile;;13:51:00;13:54:00;
MOCLU;19/09/2024;marche spontanee;;13:54:30;13:57:30;
MOCLU;19/09/2024;marche lente;;13:58:00;14:01:00;
MOCLU;19/09/2024;marche rapide;;14:01:30;14:03:30;
MOCLU;19/09/2024;course spontanee;;14:04:00;14:07:00;
MOCLU;19/09/2024;velo spontanee;;14:07:30;14:10:30;
MOCLU;19/09/2024;escalier montee;1;14:11:30;14:11:45;
MOCLU;19/09/2024;escalier descente;1;14:11:45;14:12:00;
MOCLU;19/09/2024;escalier montee;2;14:12:00;14:12:15;
MOCLU;19/09/2024;escalier descente;2;14:12:15;14:12:28;
MOCLU;19/09/2024;escalier montee;3;14:12:28;14:12:40;
MOCLU;19/09/2024;escalier descente;3;14:12:40;14:12:53;
MOCLU;19/09/2024;escalier montee;4;14:12:53;14:13:07;
MOCLU;19/09/2024;escalier descente;4;14:13:07;14:13:18;
MOCLU;19/09/2024;escalier montee;5;14:13:18;14:13:32;
MOCLU;19/09/2024;escalier descente;5;14:13:32;14:13:46;
MOCLU;19/09/2024;escalier montee;6;14:13:46;14:13:58;
MOCLU;19/09/2024;escalier descente;6;14:13:58;14:14:10;
TETHE;19/09/2024;assis immobile;;12:56:18;12:59:18;
TETHE;19/09/2024;debout immobile;;12:59:45;13:02:45;
TETHE;19/09/2024;marche spontanee;;13:03:15;13:06:15;
TETHE;19/09/2024;marche lente;;13:06:45;13:09:45;
TETHE;19/09/2024;marche rapide;;13:10:15;13:13:15;
TETHE;19/09/2024;course spontanee;;13:13:45;13:16:45;
TETHE;19/09/2024;velo spontanee;;13:17:15;13:20:15;
TETHE;19/09/2024;escalier montee;1;13:21:20;13:21:35;
TETHE;19/09/2024;escalier descente;1;13:21:35;13:21:50;
TETHE;19/09/2024;escalier montee;2;13:21:50;13:22:05;
TETHE;19/09/2024;escalier descente;2;13:22:05;13:22:20;
TETHE;19/09/2024;escalier montee;3;13:22:20;13:22:37;
TETHE;19/09/2024;escalier descente;3;13:22:37;13:23:24;
TETHE;19/09/2024;escalier montee;4;13:23:24;13:23:40;
TETHE;19/09/2024;escalier descente;4;13:23:40;13:23:55;
